session,frame,time,image,command,command_name,steering,speed,gps_x,gps_y
camilo_20260627_091554,0,0.016,img\camilo_20260627_091554_000000.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.880
camilo_20260627_091554,1,0.128,img\camilo_20260627_091554_000001.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.867
camilo_20260627_091554,2,0.240,img\camilo_20260627_091554_000002.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.795
camilo_20260627_091554,3,0.352,img\camilo_20260627_091554_000003.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.670
camilo_20260627_091554,4,0.464,img\camilo_20260627_091554_000004.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.494
camilo_20260627_091554,5,0.576,img\camilo_20260627_091554_000005.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.269
camilo_20260627_091554,6,0.688,img\camilo_20260627_091554_000006.jpg,2,FOLLOW,0.00000,30.00,-238.130,44.995
camilo_20260627_091554,7,0.800,img\camilo_20260627_091554_000007.jpg,2,FOLLOW,0.00000,30.00,-238.130,44.671
camilo_20260627_091554,8,0.912,img\camilo_20260627_091554_000008.jpg,2,FOLLOW,0.00000,30.00,-238.130,44.298
camilo_20260627_091554,9,1.024,img\camilo_20260627_091554_000009.jpg,2,FOLLOW,0.00000,30.00,-238.130,43.874
camilo_20260627_091554,10,1.136,img\camilo_20260627_091554_000010.jpg,2,FOLLOW,0.00000,30.00,-238.130,43.400
camilo_20260627_091554,11,1.248,img\camilo_20260627_091554_000011.jpg,2,FOLLOW,0.00000,30.00,-238.130,42.877
camilo_20260627_091554,12,1.360,img\camilo_20260627_091554_000012.jpg,2,FOLLOW,0.00000,30.00,-238.130,42.305
camilo_20260627_091554,13,1.472,img\camilo_20260627_091554_000013.jpg,2,FOLLOW,0.00000,30.00,-238.130,41.682
camilo_20260627_091554,14,1.584,img\camilo_20260627_091554_000014.jpg,2,FOLLOW,0.00000,30.00,-238.130,41.010
camilo_20260627_091554,15,1.696,img\camilo_20260627_091554_000015.jpg,2,FOLLOW,0.00000,30.00,-238.130,40.287
camilo_20260627_091554,16,1.808,img\camilo_20260627_091554_000016.jpg,2,FOLLOW,0.00000,30.00,-238.130,39.515
camilo_20260627_091554,17,1.920,img\camilo_20260627_091554_000017.jpg,2,FOLLOW,0.00000,30.00,-238.130,38.694
camilo_20260627_091554,18,2.032,img\camilo_20260627_091554_000018.jpg,2,FOLLOW,0.00000,30.00,-238.130,37.822
