session,frame,time,image,command,command_name,steering,speed,gps_x,gps_y
Suzu_20260627_091554,0,0.016,img/Suzu_20260627_091554_000000.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.880
Suzu_20260627_091554,1,0.128,img/Suzu_20260627_091554_000001.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.867
Suzu_20260627_091554,2,0.240,img/Suzu_20260627_091554_000002.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.795
Suzu_20260627_091554,3,0.352,img/Suzu_20260627_091554_000003.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.670
Suzu_20260627_091554,4,0.464,img/Suzu_20260627_091554_000004.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.494
Suzu_20260627_091554,5,0.576,img/Suzu_20260627_091554_000005.jpg,2,FOLLOW,0.00000,30.00,-238.130,45.269
Suzu_20260627_091554,6,0.688,img/Suzu_20260627_091554_000006.jpg,2,FOLLOW,0.00000,30.00,-238.130,44.995
Suzu_20260627_091554,7,0.800,img/Suzu_20260627_091554_000007.jpg,2,FOLLOW,0.00000,30.00,-238.130,44.671
Suzu_20260627_091554,8,0.912,img/Suzu_20260627_091554_000008.jpg,2,FOLLOW,0.00000,30.00,-238.130,44.298
Suzu_20260627_091554,9,1.024,img/Suzu_20260627_091554_000009.jpg,2,FOLLOW,0.00000,30.00,-238.130,43.874
Suzu_20260627_091554,10,1.136,img/Suzu_20260627_091554_000010.jpg,2,FOLLOW,0.00000,30.00,-238.130,43.400
Suzu_20260627_091554,11,1.248,img/Suzu_20260627_091554_000011.jpg,2,FOLLOW,0.00000,30.00,-238.130,42.877
Suzu_20260627_091554,12,1.360,img/Suzu_20260627_091554_000012.jpg,2,FOLLOW,0.00000,30.00,-238.130,42.305
Suzu_20260627_091554,13,1.472,img/Suzu_20260627_091554_000013.jpg,2,FOLLOW,0.00000,30.00,-238.130,41.682
Suzu_20260627_091554,14,1.584,img/Suzu_20260627_091554_000014.jpg,2,FOLLOW,0.00000,30.00,-238.130,41.010
Suzu_20260627_091554,15,1.696,img/Suzu_20260627_091554_000015.jpg,2,FOLLOW,0.00000,30.00,-238.130,40.287
Suzu_20260627_091554,16,1.808,img/Suzu_20260627_091554_000016.jpg,2,FOLLOW,0.00000,30.00,-238.130,39.515
Suzu_20260627_091554,17,1.920,img/Suzu_20260627_091554_000017.jpg,2,FOLLOW,0.00000,30.00,-238.130,38.694
Suzu_20260627_091554,18,2.032,img/Suzu_20260627_091554_000018.jpg,2,FOLLOW,0.00000,30.00,-238.130,37.822
Suzu_20260627_091554,19,2.144,img/Suzu_20260627_091554_000019.jpg,2,FOLLOW,0.00000,30.00,-238.130,36.902
Suzu_20260627_091554,20,2.256,img/Suzu_20260627_091554_000020.jpg,2,FOLLOW,0.00000,30.00,-238.130,35.967
Suzu_20260627_091554,21,2.368,img/Suzu_20260627_091554_000021.jpg,2,FOLLOW,0.00000,30.00,-238.130,35.033
Suzu_20260627_091554,22,2.480,img/Suzu_20260627_091554_000022.jpg,2,FOLLOW,0.00000,30.00,-238.130,34.100
Suzu_20260627_091554,23,2.592,img/Suzu_20260627_091554_000023.jpg,2,FOLLOW,0.00000,30.00,-238.130,33.167
Suzu_20260627_091554,24,2.704,img/Suzu_20260627_091554_000024.jpg,2,FOLLOW,0.00000,30.00,-238.130,32.234
Suzu_20260627_091554,25,2.816,img/Suzu_20260627_091554_000025.jpg,2,FOLLOW,0.00000,30.00,-238.130,31.301
Suzu_20260627_091554,26,2.928,img/Suzu_20260627_091554_000026.jpg,2,FOLLOW,0.00000,30.00,-238.130,30.368
Suzu_20260627_091554,27,3.040,img/Suzu_20260627_091554_000027.jpg,2,FOLLOW,0.00000,30.00,-238.130,29.434
Suzu_20260627_091554,28,3.152,img/Suzu_20260627_091554_000028.jpg,2,FOLLOW,0.00000,30.00,-238.130,28.501
Suzu_20260627_091554,29,3.264,img/Suzu_20260627_091554_000029.jpg,2,FOLLOW,0.00000,30.00,-238.130,27.568
Suzu_20260627_091554,30,3.376,img/Suzu_20260627_091554_000030.jpg,2,FOLLOW,0.00000,30.00,-238.130,26.635
Suzu_20260627_091554,31,3.488,img/Suzu_20260627_091554_000031.jpg,2,FOLLOW,0.00000,30.00,-238.130,25.701
Suzu_20260627_091554,32,3.600,img/Suzu_20260627_091554_000032.jpg,2,FOLLOW,0.00000,30.00,-238.130,24.768
Suzu_20260627_091554,33,3.712,img/Suzu_20260627_091554_000033.jpg,2,FOLLOW,0.00000,30.00,-238.130,23.835
Suzu_20260627_091554,34,3.824,img/Suzu_20260627_091554_000034.jpg,2,FOLLOW,0.00000,30.00,-238.130,22.902
Suzu_20260627_091554,35,3.936,img/Suzu_20260627_091554_000035.jpg,2,FOLLOW,0.00000,30.00,-238.130,21.969
Suzu_20260627_091554,36,4.048,img/Suzu_20260627_091554_000036.jpg,2,FOLLOW,0.00000,30.00,-238.131,21.035
Suzu_20260627_091554,37,4.160,img/Suzu_20260627_091554_000037.jpg,2,FOLLOW,0.00000,30.00,-238.131,20.102
Suzu_20260627_091554,38,4.272,img/Suzu_20260627_091554_000038.jpg,2,FOLLOW,0.00000,30.00,-238.131,19.169
Suzu_20260627_091554,39,4.384,img/Suzu_20260627_091554_000039.jpg,2,FOLLOW,0.00000,30.00,-238.131,18.236
Suzu_20260627_091554,40,4.496,img/Suzu_20260627_091554_000040.jpg,2,FOLLOW,0.00000,30.00,-238.131,17.302
Suzu_20260627_091554,41,4.608,img/Suzu_20260627_091554_000041.jpg,2,FOLLOW,0.00000,30.00,-238.131,16.369
Suzu_20260627_091554,42,4.720,img/Suzu_20260627_091554_000042.jpg,2,FOLLOW,0.00000,30.00,-238.131,15.436
Suzu_20260627_091554,43,4.832,img/Suzu_20260627_091554_000043.jpg,2,FOLLOW,0.00000,30.00,-238.131,14.503
Suzu_20260627_091554,44,4.944,img/Suzu_20260627_091554_000044.jpg,2,FOLLOW,0.00000,30.00,-238.131,13.570
Suzu_20260627_091554,45,5.056,img/Suzu_20260627_091554_000045.jpg,2,FOLLOW,0.00000,30.00,-238.131,12.636
Suzu_20260627_091554,46,5.168,img/Suzu_20260627_091554_000046.jpg,2,FOLLOW,0.00000,30.00,-238.131,11.703
Suzu_20260627_091554,47,5.280,img/Suzu_20260627_091554_000047.jpg,2,FOLLOW,0.00000,30.00,-238.131,10.770
Suzu_20260627_091554,48,5.392,img/Suzu_20260627_091554_000048.jpg,2,FOLLOW,0.00000,30.00,-238.131,9.837
Suzu_20260627_091554,49,5.504,img/Suzu_20260627_091554_000049.jpg,2,FOLLOW,0.00000,30.00,-238.131,8.903
Suzu_20260627_091554,50,5.616,img/Suzu_20260627_091554_000050.jpg,2,FOLLOW,0.00000,30.00,-238.131,7.970
Suzu_20260627_091554,51,5.728,img/Suzu_20260627_091554_000051.jpg,2,FOLLOW,0.00000,30.00,-238.131,7.037
Suzu_20260627_091554,52,5.840,img/Suzu_20260627_091554_000052.jpg,2,FOLLOW,0.00000,30.00,-238.131,6.104
Suzu_20260627_091554,53,5.952,img/Suzu_20260627_091554_000053.jpg,2,FOLLOW,0.00000,30.00,-238.131,5.170
Suzu_20260627_091554,54,6.064,img/Suzu_20260627_091554_000054.jpg,2,FOLLOW,0.00000,30.00,-238.131,4.237
Suzu_20260627_091554,55,6.176,img/Suzu_20260627_091554_000055.jpg,2,FOLLOW,0.00000,30.00,-238.131,3.304
Suzu_20260627_091554,56,6.288,img/Suzu_20260627_091554_000056.jpg,2,FOLLOW,0.00000,30.00,-238.131,2.371
Suzu_20260627_091554,57,6.400,img/Suzu_20260627_091554_000057.jpg,2,FOLLOW,0.00000,30.00,-238.131,1.438
Suzu_20260627_091554,58,6.512,img/Suzu_20260627_091554_000058.jpg,2,FOLLOW,0.00000,30.00,-238.131,0.504
Suzu_20260627_091554,59,6.624,img/Suzu_20260627_091554_000059.jpg,2,FOLLOW,0.00000,30.00,-238.131,-0.429
Suzu_20260627_091554,60,6.736,img/Suzu_20260627_091554_000060.jpg,2,FOLLOW,0.00000,30.00,-238.131,-1.362
Suzu_20260627_091554,61,6.848,img/Suzu_20260627_091554_000061.jpg,2,FOLLOW,0.00000,30.00,-238.131,-2.295
Suzu_20260627_091554,62,6.960,img/Suzu_20260627_091554_000062.jpg,2,FOLLOW,0.00000,30.00,-238.131,-3.229
Suzu_20260627_091554,63,7.072,img/Suzu_20260627_091554_000063.jpg,2,FOLLOW,0.00000,30.00,-238.131,-4.162
Suzu_20260627_091554,64,7.184,img/Suzu_20260627_091554_000064.jpg,2,FOLLOW,0.00000,30.00,-238.131,-5.095
Suzu_20260627_091554,65,7.296,img/Suzu_20260627_091554_000065.jpg,2,FOLLOW,0.00000,30.00,-238.131,-6.028
Suzu_20260627_091554,66,7.408,img/Suzu_20260627_091554_000066.jpg,2,FOLLOW,0.00000,30.00,-238.131,-6.962
Suzu_20260627_091554,67,7.520,img/Suzu_20260627_091554_000067.jpg,2,FOLLOW,0.00000,30.00,-238.131,-7.895
Suzu_20260627_091554,68,7.632,img/Suzu_20260627_091554_000068.jpg,2,FOLLOW,0.00000,30.00,-238.131,-8.828
Suzu_20260627_091554,69,7.744,img/Suzu_20260627_091554_000069.jpg,2,FOLLOW,0.00000,30.00,-238.131,-9.761
Suzu_20260627_091554,70,7.856,img/Suzu_20260627_091554_000070.jpg,2,FOLLOW,0.00000,30.00,-238.131,-10.694
Suzu_20260627_091554,71,7.968,img/Suzu_20260627_091554_000071.jpg,2,FOLLOW,0.00000,30.00,-238.131,-11.628
Suzu_20260627_091554,72,8.080,img/Suzu_20260627_091554_000072.jpg,2,FOLLOW,0.00000,30.00,-238.131,-12.561
Suzu_20260627_091554,73,8.192,img/Suzu_20260627_091554_000073.jpg,2,FOLLOW,0.00000,30.00,-238.131,-13.494
Suzu_20260627_091554,74,8.304,img/Suzu_20260627_091554_000074.jpg,2,FOLLOW,0.00000,30.00,-238.131,-14.427
Suzu_20260627_091554,75,8.416,img/Suzu_20260627_091554_000075.jpg,2,FOLLOW,0.00000,30.00,-238.131,-15.361
Suzu_20260627_091554,76,8.528,img/Suzu_20260627_091554_000076.jpg,2,FOLLOW,0.00000,30.00,-238.131,-16.294
Suzu_20260627_091554,77,8.640,img/Suzu_20260627_091554_000077.jpg,2,FOLLOW,0.00000,30.00,-238.131,-17.227
Suzu_20260627_091554,78,8.752,img/Suzu_20260627_091554_000078.jpg,2,FOLLOW,0.00000,30.00,-238.131,-18.160
Suzu_20260627_091554,79,8.864,img/Suzu_20260627_091554_000079.jpg,2,FOLLOW,0.00000,30.00,-238.131,-19.094
Suzu_20260627_091554,80,8.976,img/Suzu_20260627_091554_000080.jpg,2,FOLLOW,0.00000,30.00,-238.131,-20.027
Suzu_20260627_091554,81,9.088,img/Suzu_20260627_091554_000081.jpg,2,FOLLOW,0.00000,30.00,-238.131,-20.960
Suzu_20260627_091554,82,9.200,img/Suzu_20260627_091554_000082.jpg,2,FOLLOW,0.00000,30.00,-238.131,-21.893
Suzu_20260627_091554,83,9.312,img/Suzu_20260627_091554_000083.jpg,2,FOLLOW,0.00000,30.00,-238.131,-22.826
Suzu_20260627_091554,84,9.424,img/Suzu_20260627_091554_000084.jpg,2,FOLLOW,0.00000,30.00,-238.131,-23.760
Suzu_20260627_091554,85,9.536,img/Suzu_20260627_091554_000085.jpg,2,FOLLOW,0.00000,30.00,-238.131,-24.693
Suzu_20260627_091554,86,9.648,img/Suzu_20260627_091554_000086.jpg,2,FOLLOW,0.00000,30.00,-238.131,-25.626
Suzu_20260627_091554,87,9.760,img/Suzu_20260627_091554_000087.jpg,2,FOLLOW,0.00000,30.00,-238.131,-26.559
Suzu_20260627_091554,88,9.872,img/Suzu_20260627_091554_000088.jpg,2,FOLLOW,0.00000,30.00,-238.131,-27.493
Suzu_20260627_091554,89,9.984,img/Suzu_20260627_091554_000089.jpg,2,FOLLOW,0.00000,30.00,-238.132,-28.426
Suzu_20260627_091554,90,10.096,img/Suzu_20260627_091554_000090.jpg,2,FOLLOW,0.00000,30.00,-238.132,-29.359
Suzu_20260627_091554,91,10.208,img/Suzu_20260627_091554_000091.jpg,2,FOLLOW,0.00000,30.00,-238.132,-30.292
Suzu_20260627_091554,92,10.320,img/Suzu_20260627_091554_000092.jpg,2,FOLLOW,0.00000,30.00,-238.132,-31.225
Suzu_20260627_091554,93,10.432,img/Suzu_20260627_091554_000093.jpg,2,FOLLOW,0.00000,30.00,-238.132,-32.159
Suzu_20260627_091554,94,10.544,img/Suzu_20260627_091554_000094.jpg,2,FOLLOW,0.00000,30.00,-238.132,-33.092
Suzu_20260627_091554,95,10.656,img/Suzu_20260627_091554_000095.jpg,2,FOLLOW,0.00000,30.00,-238.132,-34.025
Suzu_20260627_091554,96,10.768,img/Suzu_20260627_091554_000096.jpg,2,FOLLOW,0.00000,30.00,-238.132,-34.958
Suzu_20260627_091554,97,10.880,img/Suzu_20260627_091554_000097.jpg,2,FOLLOW,0.00000,30.00,-238.132,-35.892
Suzu_20260627_091554,98,10.992,img/Suzu_20260627_091554_000098.jpg,2,FOLLOW,0.00000,30.00,-238.132,-36.825
Suzu_20260627_091554,99,11.104,img/Suzu_20260627_091554_000099.jpg,2,FOLLOW,0.00000,30.00,-238.132,-37.758
Suzu_20260627_091554,100,11.216,img/Suzu_20260627_091554_000100.jpg,2,FOLLOW,0.00000,30.00,-238.132,-38.691
Suzu_20260627_091554,101,11.328,img/Suzu_20260627_091554_000101.jpg,2,FOLLOW,0.00000,30.00,-238.132,-39.625
Suzu_20260627_091554,102,11.440,img/Suzu_20260627_091554_000102.jpg,2,FOLLOW,0.00000,30.00,-238.132,-40.558
Suzu_20260627_091554,103,11.552,img/Suzu_20260627_091554_000103.jpg,2,FOLLOW,0.00000,30.00,-238.132,-41.491
Suzu_20260627_091554,104,11.664,img/Suzu_20260627_091554_000104.jpg,2,FOLLOW,0.00000,30.00,-238.132,-42.424
Suzu_20260627_091554,105,11.776,img/Suzu_20260627_091554_000105.jpg,2,FOLLOW,0.00000,30.00,-238.132,-43.357
Suzu_20260627_091554,106,11.888,img/Suzu_20260627_091554_000106.jpg,2,FOLLOW,0.00000,30.00,-238.132,-44.291
Suzu_20260627_091554,107,12.000,img/Suzu_20260627_091554_000107.jpg,2,FOLLOW,0.00000,30.00,-238.132,-45.224
Suzu_20260627_091554,108,12.112,img/Suzu_20260627_091554_000108.jpg,2,FOLLOW,0.00000,30.00,-238.132,-46.157
Suzu_20260627_091554,109,12.224,img/Suzu_20260627_091554_000109.jpg,2,FOLLOW,0.00000,30.00,-238.132,-47.090
Suzu_20260627_091554,110,12.336,img/Suzu_20260627_091554_000110.jpg,2,FOLLOW,0.00000,30.00,-238.132,-48.024
Suzu_20260627_091554,111,12.448,img/Suzu_20260627_091554_000111.jpg,2,FOLLOW,0.00000,30.00,-238.132,-48.957
Suzu_20260627_091554,112,12.560,img/Suzu_20260627_091554_000112.jpg,2,FOLLOW,0.00000,30.00,-238.132,-49.890
Suzu_20260627_091554,113,12.672,img/Suzu_20260627_091554_000113.jpg,2,FOLLOW,0.00000,30.00,-238.132,-50.823
